0.05 0

0.1 0

0.15 0

0.2 0

0.25 0

0.3 0

0.35 0

0.4 0

0.45 0

0.5 0

0.55 0

0.6 0

0.65 0

0.7 0

0.75 0

0.8 0

0.85 0

0.9 0

0.95 0

1 0

1.05 0

1.1 0

1.15 0

1.2 0

1.25 0

1.3 0

1.35 0

1.4 0

1.45 0

1.5 2
-2.96031 -1.2188 0.838743 0.0334744 -0.848418 -2.95366 -0.0176371 1.17754 
1.55 2
-2.91805 -1.21831 0.845189 0.00975645 -0.849749 -2.89443 -0.0266207 1.18444 
1.6 3
-2.87519 -1.21708 0.857152 0.0245543 -0.850105 -2.83482 -0.00713608 1.19226 -0.250115 -2.97727 0.0543644 0.836504 
1.65 4
-2.83185 -1.21458 0.866951 0.0500983 -0.85007 -2.77484 0.00071688 1.19971 0.281478 -2.97968 0.0557255 0.969953 -0.248194 -2.93515 0.0384152 0.842357 
1.7 4
-2.78808 -1.21178 0.875325 0.0558358 -0.850459 -2.71452 -0.00778368 1.20628 0.283523 -2.93076 0.0408952 0.97847 -0.244933 -2.89259 0.0652119 0.851082 
1.75 4
-2.74412 -1.20802 0.87913 0.0752034 -0.849817 -2.6537 0.0128293 1.21641 0.285781 -2.88138 0.0451556 0.987541 -0.241684 -2.85003 0.0649981 0.851239 
1.8 4
-2.69987 -1.20428 0.88514 0.0748746 -0.849129 -2.59248 0.0137716 1.22437 0.288538 -2.83159 0.0551432 0.995722 -0.240514 -2.80781 0.0233814 0.844493 
1.85 4
-2.65535 -1.20075 0.890335 0.0707156 -0.847955 -2.53085 0.0234672 1.23262 0.2907 -2.78148 0.0432375 1.00236 -0.237737 -2.76484 0.055547 0.859297 
1.9 4
-2.61075 -1.19885 0.892031 0.0378636 -0.847178 -2.46898 0.0155525 1.23742 0.291306 -2.73127 0.0121222 1.00403 -0.23583 -2.72193 0.0381396 0.858177 
1.95 4
-2.56578 -1.19648 0.89939 0.0475202 -0.844775 -2.40702 0.0480639 1.23916 0.2916 -2.68074 0.0058887 1.01073 -0.23514 -2.67911 0.0138014 0.856424 
2 4
-2.52037 -1.19347 0.908266 0.0601159 -0.843283 -2.34507 0.0298277 1.23914 0.290927 -2.63002 -0.0134746 1.01439 -0.234792 -2.63677 0.00696422 0.846856 
2.05 6
-2.99624 0.84059 1.01444 0.118947 -2.4753 -1.19275 0.901242 0.0144124 -2.97529 -0.718332 0.776 -0.0233878 -0.840764 -2.28279 0.0503887 1.24554 0.291971 -2.579 0.0208853 1.02038 -0.233953 -2.59476 0.0167701 0.840146 
2.1 7
-2.94508 0.846207 1.02328 0.112332 -2.42966 -1.1921 0.912803 0.0129008 -2.93626 -0.719063 0.780532 -0.0146291 -0.837213 -2.22063 0.0710082 1.24312 0.293795 -2.52781 0.0364769 1.0237 -1.19276 -2.96295 0.0393457 0.74246 -0.231869 -2.55197 0.0416894 0.855819 
2.15 7
