-1.25 0 0 0
1.25 0 0 0
3.75 0.0164233 0.0215945 0.0267657
6.25 0.0629793 0.0706762 0.0783731
8.75 0.0873653 0.0945009 0.101637
11.25 0.104206 0.110617 0.117027
13.75 0.097544 0.108156 0.118768
16.25 0.121753 0.129406 0.13706
18.75 0.12645 0.135713 0.144976
21.25 0.13525 0.142297 0.149345
23.75 0.138768 0.145232 0.151696
26.25 0.144686 0.154291 0.163896
28.75 0.147567 0.156678 0.16579
31.25 0.171086 0.184359 0.197632
33.75 0.165631 0.18071 0.195789
36.25 0.174357 0.193666 0.212974
38.75 0.151146 0.179009 0.206872
41.25 0.128645 0.157509 0.186372
43.75 0.137625 0.163131 0.188638
46.25 0.090134 0.119924 0.149715
48.75 0.0786077 0.128512 0.178416
51.25 0.0830363 0.11677 0.150504
53.75 0.0358505 0.0670601 0.0982696
56.25 0.0282167 0.0627474 0.097278
58.75 0 0 0
61.25 0 0 0
63.75 1.73472e-18 0.0139585 0.0279169
66.25 -6.93889e-18 0.0364163 0.0728325
68.75 0 0 0
71.25 0 0.00436187 0.00872373
73.75 0 0 0
76.25 0 0 0
78.75 0 0 0
