-1.25 0 0 0
1.25 0 0 0
3.75 0.00140637 0.00198602 0.00256567
6.25 0.0191095 0.0218127 0.024516
8.75 0.0273898 0.0317064 0.036023
11.25 0.0371692 0.0425301 0.047891
13.75 0.0476988 0.0535116 0.0593244
16.25 0.0492668 0.0545513 0.0598358
18.75 0.064572 0.0689005 0.073229
21.25 0.065946 0.0705121 0.0750782
23.75 0.0775164 0.0816712 0.0858259
26.25 0.0761961 0.0823184 0.0884408
28.75 0.0757391 0.0802496 0.0847601
31.25 0.0793756 0.0854418 0.0915081
33.75 0.0642365 0.0695038 0.0747712
36.25 0.0571766 0.0635808 0.069985
38.75 0.041109 0.0471439 0.0531788
41.25 0.0256074 0.0341961 0.0427847
43.75 0.0182937 0.0253836 0.0324735
46.25 0.0105918 0.0159358 0.0212798
48.75 0.00942731 0.0144822 0.0195371
51.25 0.00763186 0.0111609 0.0146899
53.75 0.00307491 0.0064551 0.0098353
56.25 0.00203781 0.00515177 0.00826573
58.75 0 0 0
61.25 0 0 0
63.75 -1.0842e-19 0.000780633 0.00156127
66.25 4.33681e-19 0.00252706 0.00505411
68.75 0 0 0
71.25 2.71051e-20 0.000193247 0.000386494
73.75 0 0 0
76.25 0 0 0
78.75 0 0 0
