0.5 0 0 0
1.5 0 0 0
2.5 0 0 0
3.5 0 0.000777969 0.00155594
4.5 0 0 0
5.5 0 0 0
6.5 0 0 0
7.5 0 0.00277815 0.0055563
8.5 0 0 0
9.5 0 0 0
10.5 0.00680181 0.0154047 0.0240076
11.5 0.00329464 0.0187384 0.0341821
12.5 0.0216707 0.0389825 0.0562943
13.5 0.046697 0.0685255 0.0903541
14.5 0.023873 0.0443956 0.0649182
15.5 0.0147856 0.021166 0.0275464
16.5 0.0380271 0.0765401 0.115053
17.5 0.0304096 0.0535845 0.0767594
18.5 0.0398375 0.0548891 0.0699406
19.5 0.107901 0.127267 0.146634
20.5 0.0474606 0.064915 0.0823694
21.5 0.060735 0.0778422 0.0949495
22.5 0.0630999 0.0830977 0.103096
23.5 0.0746052 0.0892475 0.10389
24.5 0.110509 0.122277 0.134044
25.5 0.0746121 0.0881385 0.101665
26.5 0.0906634 0.101604 0.112545
27.5 0.0940897 0.107577 0.121065
28.5 0.131211 0.138909 0.146607
29.5 0.111792 0.122085 0.132378
30.5 0.0973696 0.112219 0.127069
31.5 0.0822228 0.101348 0.120472
32.5 0.119103 0.142916 0.166729
33.5 0.0877864 0.115675 0.143564
34.5 0.0729714 0.09838 0.123789
35.5 0.0730136 0.105495 0.137977
36.5 0.0694137 0.109973 0.150531
37.5 0.115432 0.148975 0.182518
38.5 0.0903458 0.128099 0.165852
39.5 0.0354293 0.0717488 0.108068
40.5 0.033509 0.0678458 0.102183
41.5 0.0244877 0.0519652 0.0794427
42.5 0.0281784 0.0579038 0.0876291
43.5 0.0166019 0.0658995 0.115197
44.5 0.0079517 0.0329182 0.0578846
45.5 0.0147438 0.0438387 0.0729335
46.5 0.00409745 0.0345444 0.0649914
47.5 0.000560687 0.00784721 0.0151337
48.5 0.0280012 0.0599597 0.0919182
49.5 0.0117319 0.0352761 0.0588203
50.5 0 0 0
51.5 0.0007048 0.00398033 0.00725586
52.5 0.00498186 0.0435263 0.0820707
53.5 0 0 0
54.5 0 0 0
55.5 0 0 0
56.5 0 0 0
57.5 0 0.0223227 0.0446453
58.5 0 0 0
59.5 0 0 0
60.5 0 0 0
61.5 0 0 0
62.5 0 0 0
63.5 0 0 0
64.5 0 0 0
65.5 0 0 0
66.5 0 0 0
67.5 0 0 0
68.5 0 0 0
69.5 0 0 0
70.5 0 0 0
71.5 0 0 0
72.5 0 0 0
73.5 0 0 0
74.5 0 0 0
75.5 0 0 0
76.5 0 0 0
77.5 0 0 0
78.5 0 0 0
79.5 0 0 0
80.5 0 0 0
81.5 0 0 0
82.5 0 0 0
83.5 0 0 0
84.5 0 0 0
85.5 0 0 0
86.5 0 0 0
87.5 0 0 0
88.5 0 0 0
89.5 0 0 0
90.5 0 0 0
91.5 0 0 0
92.5 0 0 0
93.5 0 0 0
94.5 0 0 0
95.5 0 0 0
96.5 0 0 0
97.5 0 0 0
98.5 0 0 0
99.5 0 0 0
